[2017-07-15 03:37:44] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost:8080/homemall/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-07-15 04:13:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/admin/index/index/key/42422f2dd1694137859e6da64d93f5f28b4443d3d086e7b5dcaa35ba1ecf7a96/","invalidateInfo":{"tags":["BACKEND_MAINMENU"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-07-15 04:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/admin/cache/massRefresh/key/ef5df82632e21a550ed8e3dc92b0c7777a83ae1cbd74f202647ba137425fb835/","invalidateInfo":{"tags":["CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-07-15 04:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/admin/cache/massRefresh/key/ef5df82632e21a550ed8e3dc92b0c7777a83ae1cbd74f202647ba137425fb835/","invalidateInfo":{"tags":["LAYOUT_GENERAL_CACHE_TAG"],"mode":"matchingTag"},"is_exception":false} []
[2017-07-15 04:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/admin/cache/massRefresh/key/ef5df82632e21a550ed8e3dc92b0c7777a83ae1cbd74f202647ba137425fb835/","invalidateInfo":{"tags":["BLOCK_HTML"],"mode":"matchingTag"},"is_exception":false} []
[2017-07-15 04:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/admin/cache/massRefresh/key/ef5df82632e21a550ed8e3dc92b0c7777a83ae1cbd74f202647ba137425fb835/","invalidateInfo":{"tags":["COLLECTION_DATA"],"mode":"matchingTag"},"is_exception":false} []
[2017-07-15 04:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/admin/cache/massRefresh/key/ef5df82632e21a550ed8e3dc92b0c7777a83ae1cbd74f202647ba137425fb835/","invalidateInfo":{"tags":["REFLECTION"],"mode":"matchingTag"},"is_exception":false} []
[2017-07-15 04:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/admin/cache/massRefresh/key/ef5df82632e21a550ed8e3dc92b0c7777a83ae1cbd74f202647ba137425fb835/","invalidateInfo":{"tags":["DB_DDL"],"mode":"matchingTag"},"is_exception":false} []
[2017-07-15 04:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/admin/cache/massRefresh/key/ef5df82632e21a550ed8e3dc92b0c7777a83ae1cbd74f202647ba137425fb835/","invalidateInfo":{"tags":["EAV"],"mode":"matchingTag"},"is_exception":false} []
[2017-07-15 04:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/admin/cache/massRefresh/key/ef5df82632e21a550ed8e3dc92b0c7777a83ae1cbd74f202647ba137425fb835/","invalidateInfo":{"tags":["CUSTOMER_NOTIFICATION"],"mode":"matchingTag"},"is_exception":false} []
[2017-07-15 04:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/admin/cache/massRefresh/key/ef5df82632e21a550ed8e3dc92b0c7777a83ae1cbd74f202647ba137425fb835/","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-07-15 04:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/admin/cache/massRefresh/key/ef5df82632e21a550ed8e3dc92b0c7777a83ae1cbd74f202647ba137425fb835/","invalidateInfo":{"tags":["INTEGRATION"],"mode":"matchingTag"},"is_exception":false} []
[2017-07-15 04:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/admin/cache/massRefresh/key/ef5df82632e21a550ed8e3dc92b0c7777a83ae1cbd74f202647ba137425fb835/","invalidateInfo":{"tags":["INTEGRATION_API_CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-07-15 04:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/admin/cache/massRefresh/key/ef5df82632e21a550ed8e3dc92b0c7777a83ae1cbd74f202647ba137425fb835/","invalidateInfo":{"tags":["TRANSLATE"],"mode":"matchingTag"},"is_exception":false} []
[2017-07-15 04:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/admin/cache/massRefresh/key/ef5df82632e21a550ed8e3dc92b0c7777a83ae1cbd74f202647ba137425fb835/","invalidateInfo":{"tags":["WEBSERVICE"],"mode":"matchingTag"},"is_exception":false} []
[2017-07-15 04:27:21] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost:8080/homemall/admin/admin/cache/index/key/9933083070698e0a2ff6002f51c763127e4e5febe0119980e39e36ece6a1f700/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
