"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Agendamento de Tarefas) - todos em minutos"
"Cron configuration options for group: ","Opções de configuração Cron para grupo: "
"Daily","Diáriamente"
"Failure History Lifetime","Histórico do Ciclo de Falhas"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Para rodar corretamente as tarefas do cron verifique se as URLs foram devidamente configuradas em Web > Secure and Unsecure Base."
"Generate Schedules Every","Gerar Agendamento"
"History Cleanup Every","Limpar Histórico"
"Missed if Not Run Within","Ignore se não rodar com"
"Monthly","Mensalmente"
"Schedule Ahead for","Agendamento Futuro"
"Success History Lifetime","Histórico do Ciclo de Sucesso"
"Use Separate Process","Usar Processos Separados"
"We can't save the cron expression.","Não foi possível salvar a expressão cron."
"Weekly","Semanalmente"
