"All possible rates were fetched, please click on ""Save"" to apply","Todas possíveis taxas foram encontradas, clique em ""Salvar"" para aplicar"
"All rates were fetched, please click on ""Save"" to apply","Todas as taxas foram encontradas, clique em ""Salvar"" para aplicar"
"All valid rates have been saved.","Todas as taxas de câmbio válidas foram salvas."
"Currency","Moeda"
"Currency Rates","Câmbio"
"Currency Symbols","Símbolos"
"Import","Importar"
"Import Service","Serviço de Importação"
"Manage Currency Rates","Gerenciar Taxas de Câmbio"
"Old rate:","Taxa Anterior:"
"Please correct the input data for %1 => %2 rate","Informe valores corretos para %1 => %2 taxa"
"Please specify a correct Import Service.","Serviço de Importação incorreto."
"Reset","Reiniciar"
"System","Sistema"
"Save Currency Rates","Salvar"
"Save Currency Symbols","Salvar"
"Symbol","Símbolo"
"The custom currency symbols were applied.","O símbolo de moeda personalizado foi aplicado."
"Use Standard","Usar Padrão"
"We can't initialize the import model.","Não foi possível inicializar o modelo de importação."
