"Auto-generate a Key","Gerar Chave Automaticamente"
"Change Encryption Key","Alterar Chave de Criptografia"
"Encryption Key","Chave de Criptografia"
"Encryption Key Change","Alterar"
"File %1 is not writeable.","Arquivo %1 não possui permissão de escrita."
"ID","ID"
"Manage Encryption Key","Gerenciar Chave de Criptografia"
"New Encryption Key","Nova Chave de Criptografia"
"New Key","Novo"
"No","Não"
"Not supported cipher version","Versão cipher não suportada"
"Please enter an encryption key.","Informe uma chave de criptografia."
"The encryption key is used to protect passwords and other sensitive data.","A chave de criptografia é usada para proteger senhas e outros dados importantes."
"The encryption key format is invalid.","Formato da chave de criptografia inválido."
"The encryption key has been changed.","A chave de criptografia foi alterada."
"The generated key will be displayed after changing.","A chave de criptografia será exibida após alteração."
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","Esta é sua nova chave de criptografia: <span style=""font-family:monospace;"">%1</span>. Certifique-se de salvar esta informação em local seguro!"
"To enable a key change this file must be writable: %1.","Para permitir alteração da chave o arquivo precisa ter permissão de escrita: %1."
"Username","Username"
"Yes","Sim"
