"Constant","Constante"
"Conversion Color","Cor"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Cor inválida ""%1"". Informe um valor hexadecimal 6-dígitos."
"Conversion Format","Formato"
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","ID inválido ""%1"". ID deve ser um número inteiro."
"Conversion ID","ID"
"Conversion Label","Descrição"
"Conversion Language","Idioma"
"Conversion Value","Valor"
"Conversion Value Type","Tipo de Valor"
"Dynamic","Dinâmico"
"Enable","Habilitar"
"Google AdWords","Google AdWords"
