"File %1 does not exist","Arquivo %1 não existe"
"File %1 is not readable","Arquivo %1 não é legível"
"File system","File system"
"Parent directory does not exist: %1","Diretório acima não existe: %1"
"Please set available and/or protected paths list(s) before validation.","Informe disponibilidade e/ou lista de caminhos protegidos antes de validar."
"Requested resource not found","Recurso solicitado não foi encontrado"
"Unable to create directory: %1","Não foi possível criar o diretório: %1"
"Unable to save file: %1","Não foi possível salvar o arquivo: %1"
"Unable to save file ""%1"" at ""%2""","Não foi possível salvar o arquivo ""%1"" em ""%2"""
"Wrong file info format","Informações do formato de arquivo são inválidas"
