"""Remember Me"" Default Value","""Mantenha Logado"" Por Padrão"
"(Not %1?)","(Nenhum %1?)"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer when you are logged out","Verificar &quot;Mantenha Logado&quot; ao acessar seu carrinho de compras neste computador quando você sair"
"Clear Persistence on Log Out","Limpar Persistência ao Sair"
"Enable ""Remember Me""","Habilitar ""Mantenha Logado"""
"Enable Persistence","Habilitar Persistência"
"General Options","Geral"
"Persist Shopping Cart","Persistir Carrinho de Compras"
"Persistence Lifetime (seconds)","Ciclo de Vida da Persistência (segundos)"
"Persistent Shopping Cart","Persistência no Carrinho de Compras"
"Remember Me","Mantenha Logado"
"To check out, please log in using your email address.","Para verificar, acesse sua conta usando seu email."
"Your shopping cart has been updated with new prices.","Seu carrinho de compras foi atualizado com novos preços."
"We cannot load the configuration from file %1.","Não foi possível carregar as configurações do arquivo %1."
"Welcome, %1!","Bem-vindo, %1!"
"What's this?","O que é isso?"
