"[New/Edit] URL Rewrite","[Novo/Editar] Reescrita de URL"
"Action","Ação"
"Add New URL Rewrite","Reescrita de URL"
"Add URL Rewrite","Add URL Rewrite"
"Add URL Rewrite for a Category","Add URL Rewrite for a Category"
"Add URL Rewrite for a Product","Add URL Rewrite for a Product"
"Add URL Rewrite for CMS page","Add URL Rewrite for CMS page"
"Anchor symbol (#) is not supported in request path","Anchor symbol (#) is not supported in request path"
"An error occurred while deleting URL Rewrite.","An error occurred while deleting URL Rewrite."
"An error occurred while saving URL Rewrite.","An error occurred while saving URL Rewrite."
"Are you sure you want to do this?","Are you sure you want to do this?"
"Back","Voltar"
"Block Information","Block Information"
"Category:","Categoria:"
"Chosen cms page does not associated with any website.","Chosen cms page does not associated with any website."
"CMS page:","Página CMS:"
"Create URL Rewrite:","Criar Reescrita de URL:"
"Custom","Personalizado"
"Delete","Excluir"
"Description","Anotações"
"Edit","Editar"
"Edit URL Rewrite","Edit URL Rewrite"
"Edit URL Rewrite for a Category","Edit URL Rewrite for a Category"
"Edit URL Rewrite for a Product","Edit URL Rewrite for a Product"
"Edit URL Rewrite for CMS page","Edit URL Rewrite for CMS page"
"For category","Para Categoria"
"For product","Para Produto"
"For CMS page","Para Página CMS"
"ID","ID"
"Name","Nome"
"No","Nenhum"
"Options","Opções"
"Permanent (301)","Permanente (301)"
"Product:","Produto:"
"Redirect","Redirect"
"Redirect Type","Redirecionamento"
"Request Path","Nova URL"
"Request Path for Specified Store","Request Path for Specified Store"
"Reset","Limpar"
"Save","Salvar"
"Select Category","Selecione"
"Skip Category Selection","Skip Category Selection"
"SKU","SKU"
"Status","Status"
"Store","Loja"
"Store View","Store View"
"Target Path","URL Base"
"Temporary (302)","Temporário (302)"
"The URL Rewrite has been deleted.","The URL Rewrite has been deleted."
"The URL Rewrite has been saved.","The URL Rewrite has been saved."
"Title","Title"
"Two and more slashes together are not permitted in request path","Two and more slashes together are not permitted in request path"
"URL Key","URL Key"
"URL Rewrite Information","Informações"
"URL Rewrite Management","URL Rewrite Management"
"URL Rewrites","URL Rewrites"
"We can't set up a URL rewrite because the product you chose is not associated with a website.","We can't set up a URL rewrite because the product you chose is not associated with a website."
"We can't set up a URL rewrite because the category your chose is not associated with a website.","We can't set up a URL rewrite because the category your chose is not associated with a website."
